Thrain Forgebarbe
Durgan Marteau-de-Fer
Balin Pierregrise
Gorim Lamedacier
Torin Main-de-Pierre
Brokk Marteau-d'Or
Rurik Briseflamme
Dwalin Forgefeu
Korin Hachebrume
Thordek Tisonbrume
Brom Fendroche
Gimli Barbe-de-Feu
Fundin Rubisombre
Harbek Sculptefer
Oskar Forgegarde
Ragnor Brisetertre
Kazad Rocfroid
Varric Marteau-nu
Drogan Garde-Roche
Thrainar Ambrecoeur
Grimm Balafre-d'Acier
Kragin Sombrepierre
Morgran Coeur-de-Flamme
Drumin Hache-de-Lave
Orik Forgevif
Tharek Fer-Écarlate
Dorin Boulonnoir
Barundin Barbe-de-Givre
Tordek Tête-de-Pierre
Gundrik Lame-de-Roche
Borim Marteau-noir
Durim Forge-de-Guerre
Krurin Lame-d’Obsidienne
Fargrim Barbe-d’Étain
Baldor Sculpte-rune
Odrik Mine-Profonde
Thrainor Lame-Sombre
Gror Crâne-de-Pierre
Kelgar Mâche-terre
Rurik Forge-de-Cendres
Dwalgar Brise-Fer
Morgrim Hache-de-Sang
Grimbold Forge-Étoile
Thorek Garde-Racine
Thain Forge-des-Monts
Orgrim Marteau-Solaire
Brador Forgeclaire
Borrik Veine-de-Fer
Dragan Main-Rouge
Kazgrim Forge-des-Âges
Skorim Garde-Feu
Brogar Cendremine
Fundrik Veine-Rocheuse
Thaldor Forge-Grise
Korim Tison-d'Argent
Grombar Marteau-Vif
Harnor Forge-Glorieuse
Norin Brume-d'Acier
Korin Crâne-de-Rune
Durgrim Barbe-de-Cendres
Varrik Tison-des-Terres
Brundir Marteau-du-Nord
Grarim Forge-Silencieuse
Ogrim Flambétoile
Thrundin Tête-de-Roc
Brunor Forge-Sacrée
Dain Forge-Rugissante
Hergar Brume-Tonnerre
Dolrik Main-Rocheuse
Tormag Barbe-de-Bronze
Khaldrik Forge-des-Racines
Thrainar Sombreforge
Rurik Veine-des-Anciens
Bargrim Marteau-Fossile
Grimbok Forge-de-Poussière
Kaldor Hache-des-Pics
Thrumbar Crâne-de-Braise
Drakmir Forge-du-Feu
Garnim Veine-de-Rubis
Brordek Forge-des-Profondeurs
Durin Marteau-du-Coeur
Borin Forge-de-Granit
Morin Tison-de-Gloire
Galdor Forge-Lointaine
Thrainik Lame-des-Forges
Durgim Barbe-d’Éclat
Gorim Sculpte-Grotte
Torgrim Mine-des-Songes
Rurik Sombrebarbe
Kazgar Forge-des-Brumes
Hargrim Forge-de-Fumée
Thragor Lame-du-Peuplier
Thrandin Barbe-de-Cristal
Rurik Marteau-des-Cimes
Durgrim Brume-Rouge
Odrin Garde-Fer
Baldin Tison-des-Souffles
Grorik Forge-des-Abîmes
Thaldin Lame-des-Titans
Brokkor Main-des-Roc
Kragin Marteau-des-Runes
Drumek Forge-des-Vents
Thundar Forge-du-Fond
Morgran Tison-des-Cendres
