Aerendë Lunedombre  
Belwyn Feuillargent  
Celeia Tisanuit  
Daelya Murmurebois  
Elenya Clairétoile  
Faenys Ombreval  
Galaena Sylvessence  
Helyra Lamesoie  
Ilyria Cristallune  
Jhaeniel Chanterêve  
Kaerwyn Brisefeuille  
Lirael Lysbrume  
Myrielle Ventdouce  
Naerys Tisonrose  
Orlaena Lamechêne  
Phaelira Archedor  
Quelindra Feuillevive  
Rhianna Sombreliane  
Sylthiel d’Élaran  
Thalindra Mornétoile  
Urielle Douxnuage  
Vaelya Doréclarté  
Wynriel Lierrechant  
Xelira Clairracine  
Yselda Ombrecœur  
Zaleria Lamebrise  
Ariathë Briselune  
Baelira Lys-d’Épine  
Calenya Gardeplume  
Delyra Tisonvent  
Elowyn Feuilledouce  
Firael Ventmystique  
Gwynessa d’Aubelune  
Halindra Cristalbrise  
Isilwen Ombreliane  
Jalindra Nébulefrond  
Kelyra Murmureflamme  
Lunathiel d’Yssalor  
Maeviel Chantemoine  
Nymiel Fleurétoile  
Olirë de Sylveran  
Pyrelia Vent-de-Cristal  
Quelina Brisebrume  
Raenira Sèveclaire  
Selyra Lame-d’Orage  
Thalyra Roséeclaire  
Uliniel Feuillelune  
Virelya Lierre-nuit  
Wyndelisse Chantelys  
Xarina d’Irialor  
Yllindra Bois-de-Lune  
Zerina Lame-des-Roses  
Alenya Cœur-de-Brume  
Belira Tisseclarté  
Ciryella Flamme-d’Écorce  
Drianelle Ombrecendre  
Elaria Lame-d'Émeraude  
Fenya du Val-Rose  
Gisendra Tisonchant  
Helyssa Mornesylve  
Irielle Arbrechant  
Jasmyne Brisebois  
Karaël Tisanuage  
Liora Chêneclair  
Mythriel d’Ombresève  
Neralis Fleur-Évanescente  
Oralyn Sereindor  
Phelynna Lame-d’Écume  
Quelith Lysargent  
Rinaria Brumevolante  
Selindra Vifvent  
Tyshaëlle Clairvigne  
Ulwyn de la Brise  
Valyndra Sombreétoile  
Wynlia Roséedouce  
Xyndelle Éclatboisé  
Yriana Tisonclair  
Zyrelle Frêneval  
Aurethiel de Sylvalume  
Briselya Fleurvoile  
Caelira Ombredanse  
Delanira Feuilleglace  
Elenia d’Ysambre  
Faelia Nuitsoie  
Galaë Lamefleur  
Haelyn Tissevent  
Isolira de Valboisé  
Jenyssa Rosedepluie  
Kaelynn Feuillombre  
Liraena Lueur-d’Écorce  
Melindra Ventclair  
Nalaeria Lyssoyeux  
Olindra Chantgris  
Penariel Cœurfloré  
Quisaya Ombredorée  
Rhaelira Lameflamme  
Serenya de Clairracine  
Thylira Sève-de-Lune  
Ulyssa Épinechante  
Vaenira Brisesève  
Wynessa Lamedorée  
Xirelya Plumedombre  
Ysaline Chanteracine  
Zaneria Lueur-de-Sylve
