Aerendil Lamesylve  
Belanor Feuillelame  
Caelion Chantelune  
Daerion Brisevent  
Elrohir Ombreclair  
Faelar Garde-brume  
Galaeron Tissefeuille  
Halion Clairracine  
Ithilorn Dorneval  
Jhaeros Lameserein  
Kaelen Sombrebrise  
Laeron Sylvaran  
Maelion Tissebrume  
Naerion Vifargent  
Oranir Arbrechant  
Phaelon Dorlonde  
Quildor Brumechant  
Rhaegon Lueur-Étoile  
Saelarien Briselune  
Thalion Feuillargent  
Urelian Mornétoile  
Vaelis Doréfrond  
Wenrir Cœur-de-Bois  
Xarion Tisanuit  
Yarion Ombredanse  
Zalirien Lierreclair  
Althir Duneclaire  
Baelion Souffleval  
Celeborn Feuillombre  
Damarion Ventargent  
Eryndor Lamedorée  
Felarion Sylvenuit  
Gildor Vifbrume  
Hirion Clairchant  
Isilien Ombredor  
Jandor Murmureracine  
Kyrion Boisargent  
Letharion Doréchant  
Mirion Cristalvent  
Nimrion Archedor  
Oerion Nébulefrond  
Palarien Brumelame  
Quelion Brisefeuille  
Rhodarien Lame-étoile  
Sarlion Chanterose  
Tirion d’Yssalor  
Urion Vent-doré  
Vanyel Lame-Tisane  
Wenlorien Sylvemir  
Xandor Sereindor  
Yllorien Arbalune  
Zerion d’Elarion  
Aelor Cœur-d’Argile  
Brandir Feuillevive  
Ciryandor Chantemousse  
Dorinir Archedombre  
Elaran Lysargent  
Faerion Briseclair  
Galion Douxvent  
Helion Morneterre  
Iriandel Sombrélian  
Jaeron Boisclair  
Kalerion Sereinsylve  
Lioren de Narloth  
Menelion Roséebrume  
Nelarion Clairduvent  
Othorion Tison-Feuille  
Paelon Garde-Aube  
Quirion Tisserêve  
Rhaelor Ombrenuit  
Sildor Gardeclair  
Talion du Feuillage  
Umenion Sereinracine  
Valendil Lys-d’Étoile  
Wilmarien Lamebrise  
Xelorien Clairébène  
Ythrenar Arbredor  
Zelurion Cristallune  
Aelion Feuillargent  
Belior Chant-des-Brumes  
Cenrion Dorédanse  
Darethil Ombre-Émeraude  
Elion Lys-nocturne  
Feynor Brisegrâce  
Glaeron Murmureval  
Halian Tisonbrume  
Ivenor Cœur-de-Glace  
Jaelion Briselierre  
Kherion Sylvalune  
Lúthorien Brume-d'Éclat  
Mithenor de Valroth  
Nerenion Tisseargent  
Olthorion Flammebois  
Phaelor Chantduvent  
Quelmir Sereinbois  
Ravion d’Yllinor  
Sarmion Vent-d’Écorce  
Thirion Lueur-Racine  
Urvandir Brisedor  
Verenil Clair-de-Vie  
Wynlor Brisevoile  
Xarven Tison-Étoile  
Yvalion Ombre-Lys  
Zorenil Ventclair
