Alba Mirecog  
Bimsi Rouetpétale  
Cally Sautefusette  
Daphnel Tictincelle  
Ezia Brilleclou  
Fizzi Giclepince  
Gilda Feutrime  
Hobela Frappevalve  
Izzri Grelobille  
Jezna Volutilame  
Kreela Luminosse  
Lizzi Poissalune  
Mira Cogenoix  
Ninfa Frisebrume  
Orlina Chiffrecuivre  
Pippa Tournebulle  
Quilla Mèchevape  
Razi Sifflambre  
Saphie Détincelle  
Tilly Jaugefolle  
Umbra Mignospire  
Vinna Clenuit  
Wixie Voletige  
Xalli Cloufrisel  
Yenza Trottineige  
Zibella Vapeurbelle  
Amira Fulgurisouffle  
Binka Tintibulle  
Clovi Sangleflamme  
Dini Frimécœur  
Eppy Crankluciole  
Fayna Défilelame  
Glimra Clapercle  
Hazzi Visseplume  
Illa Brumesillon  
Jinky Réglunette  
Kanni Chiffoiseau  
Lymse Turbiéclat  
Minzy Éclyspinelle  
Nara Tisonette  
Olli Griboulame  
Pymmie Lunéboulon  
Queela Soufflepile  
Rixie Cliquarbre  
Simi Scintidoigt  
Tizza Coquelune  
Uliette Pétillevape  
Vixelle Lubrionyx  
Wenna Tiquebrule  
Ximzi Échappécorbe  
Ytza Cristalgemme  
Zully Sprotibuée  
Adri Plumepignon  
Betsy Brasebrille  
Clee Roussetour  
Dolly Gnomperluette  
Eri Foudregriffe  
Feena Calibristelle  
Greeba Souplimote  
Hilda Forgefleur  
Iska Vannecuivre  
Jozi Mistriclochette  
Kali Grincoque  
Lomi Bullétincelle  
Mimi Hurlovape  
Nelli Roulipuce  
Orry Éclattoupie  
Peela Ticlalueur  
Quinny Fichenoisette  
Rosie Vapeurmèche  
Sissi Bobinette  
Tinka Flamèchefine  
Uli Calibrouillasse  
Vera Tournivale  
Wiggie Clocheclaire  
Xandi Grelotipuce  
Yvette Frimouse  
Zinnie Spirelune  
Arli Papillofoudre  
Bruni Flambibis  
Cassy Égoutplume  
Didi Voilebrame  
Effe Ziblimèche  
Fritzi Pétillebulle  
Glimby Noctiliege  
Heli Cocowatt  
Inni Ventetincelle  
Jellie Fusecoeur  
Kree Tordelumère  
Lolli Flamouise  
Meeka Clénobulle  
Nimsa Pistilame  
Ona Tiscorne  
Prissy Friselonette  
Quirra Volbricole  
Ryla Cogérine  
Sinda Ciselnuage  
Tasya Rayovolte
