Albin Rouecliquet  
Boddynock Griffe-Écrou  
Carmin Ciselair  
Dabbledop Tournepignon  
Eldon Vifsoufflet  
Filbert Calibracier  
Gimlor Dorevalve  
Herbin Jetefumée  
Ippon Tintéroche  
Jasper Mèchevive  
Kembel Turbispire  
Lobbin Sifflacier  
Marnix Pistofoudre  
Nim Spréloquet  
Orrin Vernibrille  
Pindle Dents-de-Cuivre  
Quibbin Axeldenté  
Rimple Forgefine  
Sebben Éclatroue  
Tolen Balafrise  
Urbin Vissepied  
Varn Billefer  
Wimzig Trottinac  
Xabin Lumecoeur  
Yorbin Dentplume  
Zook Frétinette  
Ambin Nébuloquet  
Bibble Pincecliquet  
Cobbin Croc-en-Bois  
Dindle Friselune  
Ezorin Malicorne  
Fenrick Filetincelle  
Gimzik Martefolle  
Hobbin Tranchegicle  
Iblin Cuivrorage  
Jorban Lunepignon  
Kizzle Tirebagne  
Lobwick Feufourche  
Mibble Tirécrou  
Noggin Flamouvette  
Orzik Cliquetacier  
Pibbin Réglisouffle  
Qirrick Moletoupie  
Ragbin Tremblétain  
Snorbin Voltirelle  
Timbin Tructricot  
Urthik Débriscœur  
Vibbin Forimyst  
Wazzil Plombérude  
Xibbin Scintilâme  
Yarpin Friselèze  
Zirnick Étincelune  
Azzin Voletincelle  
Boggen Cloussinette  
Crimkin Sautécrou  
Dazzik Vaporeste  
Elbin Dégrippin  
Frosbin Tournebout  
Gorkin Lubripied  
Helbin Mirocrête  
Ingwick Tourniplume  
Jibben Giclebrille  
Karnin Feutrage  
Lomwick Frémétoile  
Marnik Boumbijou  
Nifflin Tocbouilleur  
Orrick Marnécrou  
Poggle Sciesiffle  
Quazzik Étouflefeu  
Rimble Mousquifin  
Sprockin Dribillame  
Tazzrick Gribelin  
Ustin Chiffracier  
Varnip Piedrond  
Wibber Réglévapeur  
Xobbick Clénuage  
Yibbin Cordeleclair  
Zarbin Volutrine  
Alzor Flickemet  
Blibbin Mécanoïd  
Crobnik Poissengear  
Dibber Moulinebroc  
Ezbin Bidulefoudre  
Fibbick Panacharbres  
Glantick Touillefeu  
Hubrick Perlitincel  
Iznor Cranképine  
Jomwick Brumafon  
Kranklin Fixeloup  
Lorbick Vissebrise  
Muckin Roséefrime  
Nubbin Boulonnuit  
Ozrick Tiquetarou  
Pibnick Souffle-noix  
Quimwick Éclattripote  
Ribkin Bourrepile  
Sibbin Tronchinelle
