Adalyn Gâteauplume  
Bea Miellette  
Calla Piedlilas  
Daisy Flanbrise  
Elba Soupedorée  
Fenna Bellegrappe  
Gilly Chaussecroquante  
Hilda Fleurchantante  
Isla Feuillonne  
Josie Crêpelune  
Kira Doucepine  
Lila Cœurbisou  
Mina Tartefine  
Nimue Chouquette  
Orla Doucebrume  
Penny Touffeclaire  
Quilla Roulébouche  
Rosie Nidfleuri  
Sylvie Petipied  
Tess Noisibulle  
Una Brindillechaude  
Vera Boutondoré  
Willa Poussemousse  
Xena Jambonneau  
Ysolde Brisefruit  
Zia Tisaneverte  
Anwen Éclatbiscuit  
Brina Croquefeuille  
Clem Tisaneclaire  
Delia Petitventre  
Elsa Fleursucre  
Freya Briochine  
Gerta Farinette  
Hollie Douceorge  
Inga Pommetille  
Juna Feuillepure  
Karla Roueclaire  
Leela Biscuitrose  
Mabel Tourtemiel  
Nell Pâtedelune  
Olive Griffepommes  
Pippa Mornesoupe  
Quenelle Bullefolle  
Rina Calinframboise  
Saffie Lumièremousse  
Tilda Tourtefine  
Una Feuilletdouce  
Vixie Crêpindorée  
Wenla Trottinerbe  
Xara Clénoisette  
Yva Brumejolie  
Zella Petitbouchon  
Ari Sweetlune  
Bessie Friselight  
Clara Piedsouple  
Dora Muguetrond  
Elda Dorépétale  
Fia Chiffonglace  
Glynna Coudesouple  
Helmi Crocfeuilleté  
Immy Crêpechanvre  
Jilly Rireclaire  
Kessie Brunefarine  
Lyn Soufflidor  
Maisie Roudoudou  
Nora Fondrêve  
Odessa Primegrappe  
Posy Tendreliane  
Queenie Clafoutie  
Romy Épineclaire  
Susie Mielmousse  
Tansy Roudinette  
Ursa Pievert  
Vita Pétalefroment  
Winnie Tourtilune  
Xylla Sèveclaire  
Yelda Coquecourbe  
Zara Bouffedorée  
Alma Frisépice  
Brynna Doucebranche  
Coralie Nidcalin  
Daphne Figuette  
Eila Mielpoire  
Florie Roselune  
Gwen Chiffonette  
Hennie Chantfigue  
Ilsa Pluchedor  
Junie Flûtedorée  
Kylie Sèvechaleur  
Liri Pêchemousse  
Melba Feuillesucre  
Nixie Fourrinette  
Opal Chaussepêche  
Prilla Clapotis  
Reina Bouchonmiel  
Selka Biscuitclair  
Tress Bougainclaire  
Ula Tirepompon  
Viola Laitdouce  
Wilma Nidmiel
