Alton Feuilledoux  
Barnim Chaussettebrune  
Cory Piedleste  
Dibble Potdebierre  
Eldon Grainedorge  
Finnan Feuillemiel  
Garret Friselain  
Harbin Buissoncreux  
Ivo Paillasson  
Jasper Chausse-Rose  
Kellen Tonnebois  
Lyle Creusetouffu  
Milo Longebranche  
Nico Petitpré  
Oswin Chantemousse  
Perrin Duvetblanc  
Quintin Mielleval  
Roscoe Coquillot  
Samper Rizdoré  
Tobin Ventreclair  
Ulmo Douxchamp  
Vandon Framboise  
Weslin Charmefollet  
Xan Pieddoré  
Yoric Bonmorille  
Zook Duveteux  
Arlo Boisjoli  
Bilbo Poucetvert  
Crispin Pied-de-Lune  
Derek Potiron  
Elric des Prés  
Filbert Roussépine  
Grimble Lavoirbleu  
Hugo Feuillargent  
Iban Bonnesoupe  
Jonas Tisaneclaire  
Korrin Trotelune  
Lando Caillasson  
Marlo Buchette  
Nim Baisemousse  
Orrin Herbefolle  
Pipin Racineclaire  
Quince Longepipe  
Rollo Pommedorée  
Sem Tournicol  
Tobias Roulévent  
Ulric Feuillage  
Vince Gâteauchaud  
Wilbur Pétaleferme  
Xeno Millegraines  
Yannic Chantenoisette  
Zeb Petitpas  
Amos Siffleurval  
Barth Piedpoilu  
Cedric de L’Orme  
Denton Clairbouchon  
Emrick Bouchonnet  
Frodo Fleurpin  
Galen du Hameau  
Hamish Fouleracine  
Ilan Crocnoisette  
Jolly Soupemiel  
Kerrin Farinier  
Ludo Pichetclair  
Merric Bonchamp  
Norin Grattemoisson  
Oric Duvetmarron  
Puddle Cramique  
Quentin Brindille  
Rurik Doucemotte  
Sammel Nidfollet  
Tarry Pied-sec  
Ustin Feuilletis  
Valdo Plumefarine  
Wenton Petipied  
Xander du Clos  
Yoren Tirebouchon  
Zeno Brouettin  
Aeron Dentdorée  
Bram Tartepommes  
Colin Pied-de-Chêne  
Darin Tompin  
Elton Chourave  
Fergus Ventdouillet  
Garrin Piedchant  
Harrold Trognecuite  
Isen Boutonronce  
Jarred Biscuitdoré  
Kellen Briseverger  
Lem Trouvilait  
Milton Caillouflé  
Nando Fourcheclaire  
Orvin Poussépine  
Pippin Chansonneige  
Quillon Brindillebrune  
Randal Boisfarceur  
Stenn de la Haie  
Tobin Nidvert  
Usher Croquefin  
Vigo Loquetfleuri  
Wes Petitbouchon
