Agra Sombrefranc  
Brakka Tisonlame  
Corga Gueule-de-Pierre  
Drezza Cœur-Rugueux  
Eshra Ventecendres  
Frasha Poing-de-Feu  
Grima Marche-Fer  
Hozna Croc-d’Épine  
Irgala Ombrebrute  
Jurka Tête-Crâne  
Khalga Griffebois  
Lazra Mornelame  
Morza Sève-Rouge  
Narza Frisson-d’Ombre  
Orsha de la Cendrevive  
Pazna Gueuleclaire  
Quorra Flammesoude  
Rugza Noirelande  
Sharna Frappesilex  
Torka Lame-de-Brume  
Ugra Brise-Tige  
Vorka Gueuleflamme  
Wrezza des Monts-Poings  
Xarnha Peau-de-Silex  
Yazga Ferduvent  
Zulka Fracturâme  
Asha Poignebrune  
Borza Cœur-Roche  
Cazra Épine-Grise  
Dorga Main-des-Terres  
Erza d’Ombrevigne  
Farka Éclat-Sec  
Grozha Hurle-Tonnerre  
Harnza Gueule-Tordue  
Izsha Brise-Feu  
Jarsha de la Gorge-Argile  
Kezha Flamme-Vive  
Lurga Cendresolide  
Mazha Tisse-Rancune  
Nazra Tison-des-Vaux  
Okra d’Ébène-Morne  
Prunza Vent-Hurlant  
Qarsha Brûlecoeur  
Rashga de l’Épine-Verte  
Skorra Bras-Vivant  
Tharza Gueule-Sèche  
Urzha des Chemins-Cassés  
Varnza Rugissement-Clair  
Wulga Serre-de-Nuit  
Xezza Ombre-Feuille  
Yargla Lame-de-Sang  
Zarnha Trame-de-Pierre  
Ansha d’Os-Tanné  
Bagra Hurlefeuille  
Charka Boueflamme  
Draga de la Main-Silencieuse  
Ezna Cendresoie  
Frorza Éclat-Terre  
Garna Poing-de-Ronce  
Hizra Gueule-d’Automne  
Ilga Brume-Tendue  
Joza de la Pente-Rocheuse  
Karza Tisonchant  
Lorzha Main-de-Granit  
Marnza Noirelumière  
Norga Chantegriffe  
Oshka Peau-de-Nuit  
Pryza de la Colère-Rouge  
Qerza Souffle-Desert  
Razha Tremble-sang  
Shargla Rive-Brûlée  
Thozna Gueule-Vagabonde  
Ursha Dent-de-Givre  
Vezza Roncefroide  
Worga Feuillenoire  
Xarza Chant-des-Cendres  
Ylga Ventfendu  
Zerga Poing-de-Lave  
Azgha Cendre-Voilée  
Brinsha Griffe-des-Terres  
Cazhna Gueule-Écorce  
Dorrza Feu-du-Silence  
Ezsha Épine-Rougie  
Fazra Flammes-Fleuries  
Gulna Racinefroide  
Harnza Éclat-du-Pied  
Irsha de la Montagne-Creuse  
Jargha Lame-du-Vent  
Korga Rugissements-Gris  
Lazsha Fracturebois  
Morgna Gueule-de-Fer  
Nirgha Ombrecrocs  
Olza Gorge-Tendue  
Prasha Crâne-du-Matin  
Qulna d’Urganek  
Razhka Cicatrice-d'Écorce  
Surnza Voix-Terreuse  
Torgha Clartécendre  
Ulza Garde-de-Liane  
Varna Brisecouronne  
Wynsha Gueule-d’Aube  
Xagha Chante-Verre  
Yulgha Main-Fermée  
Zilsha d’Épine-Coeur
