Azgorn Brise-Tertre  
Brukkas Poing-de-Pierre  
Cravak Gueule-de-Fer  
Dorran Tison-Sauvage  
Ergash de l’Échine-Brisée  
Farnok Gueulecendre  
Gramar Main-Rude  
Hurgan Sombrefranc  
Irgoth Lame-d'Ébène  
Jorken Sang-de-Roche  
Karnak Brisenoir  
Logar de la Cendre-Froide  
Morgun Frontécarlate  
Norvuk Chante-Cicatrice  
Orgar Fend-le-Fiel  
Paggok Dents-d’Épine  
Quarn Fracasseterre  
Rughal Marteau-Feu  
Sorken Tête-de-Silex  
Tarkosh Peau-Dure  
Urgan de la Fureur-Terreuse  
Varrok Brise-Rivage  
Warkhan Tison-Sanglant  
Xorvak Main-des-Ronces  
Yorgun Rage-Grise  
Zurmak Cœur-Fendu  
Agram Poing-d'Orage  
Brunath Garde-Feu  
Crugor Lame-Rugueuse  
Durmak Souffle-d'Éclat  
Eronak Gueule-Haute  
Frogar Brise-Fer  
Grulok Sombremarche  
Hakar Vif-Crâne  
Ishrak Frappesang  
Jarnuk Éclat-Terre  
Kordak Fléau-des-Roches  
Lurgan Cendregarde  
Marnok Rougenuit  
Narvag Fend-l’Ombre  
Ogharn Gueule-Violente  
Prakar Poing-Scellé  
Quorak Hache-du-Matin  
Rendak Fourchebois  
Snorvuk de l’Œil-Fendu  
Torvak Lame-des-Cavernes  
Urzan Voix-Roche  
Varnash Peau-de-Foudre  
Worgrim d’Os-Cassé  
Xundak Tison-Rugueux  
Yornak Clair-Sang  
Zaghor de l’Épine-Rouge  
Algrun Fils-des-Cendres  
Bogarn Rage-du-Crâne  
Cargosh Vent-Râpeux  
Dragan Marteau-des-Pics  
Egron Sombrepierre  
Farkosh Bras-de-Sang  
Gorvak Chante-Crâne  
Hozgar Lame-du-Buisson  
Izgorn Cœur-de-Boue  
Javrak Sentier-Grondant  
Khurdan de la Gueule-Rouge  
Lokash Griffe-de-Pierre  
Mazrok Flamme-Morne  
Nagrun Brûlebois  
Ordan Gueule-de-Chêne  
Pruvak Os-durci  
Qorash Cri-du-Sol  
Rarvok Cendres-Tournantes  
Skarn Gueule-des-Marais  
Turrak de la Main-Lourde  
Ulmak Vent-des-Gueules  
Varnok Fractureclaire  
Wargun Silex-Noir  
Xarmok Bourreau-Feu  
Yrmak de l’Épine-Morte  
Zurgan Tison-du-Silence  
Ardrak Serre-du-Soir  
Barvash Gueule-de-Cendre  
Crogash Sang-des-Champs  
Drukal Pied-Bleu  
Ezgorn d’Éclat-Rouge  
Frugan Brume-de-Cuir  
Gavrok d’Urganek  
Hurgash Poing-de-Vigne  
Irgak Lame-du-Ventre  
Jarvol Gueule-Ouverte  
Krogath Brise-Ombre  
Lazruk Boue-Claire  
Marnak de l’Écorce-Tendue  
Nugash Oeil-de-Roches  
Olgrun Rugissant-Cœur  
Prunak Lame-Grisâtre  
Qarthak Tisse-Flamme  
Rakosh des Cendres-Vives  
Sargul Bras-du-Brasier  
Tovrak Hache-de-Givre  
Ugarn Ronce-Fulgure  
Varrash d’Ombre-de-Silex  
Worak Terre-Chaude  
Xogarn Gueule-Tranchante  
Yzruk Frisson-de-Cendre  
Zulmak Trame-de-Boue
